stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Annealing,0.950,0.400,30,Mirroring,0.000,0.400,40,828,794
Annealing,0.950,0.400,30,Mirroring,0.000,0.425,25,23486,22215
Annealing,0.950,0.400,35,Annealing,0.900,0.400,30,61,48
Annealing,0.950,0.400,35,Annealing,0.900,0.425,25,77027,74916
Annealing,0.950,0.400,35,Annealing,0.900,0.425,35,149,145
Annealing,0.950,0.400,35,Annealing,0.950,0.425,25,1069,1034
Annealing,0.950,0.400,35,Annealing,0.950,0.425,30,322,313
Annealing,0.950,0.400,35,Annealing,0.950,0.425,35,405,349
Annealing,0.950,0.400,35,Mirroring,0.000,0.400,25,451,446
Annealing,0.950,0.400,35,Mirroring,0.000,0.400,35,429,338
Annealing,0.950,0.400,35,Mirroring,0.000,0.425,20,26026,25989
Annealing,0.950,0.400,35,Mirroring,0.000,0.425,25,69729,62956
Annealing,0.950,0.400,35,Mirroring,0.000,0.425,30,964,1029
Annealing,0.950,0.400,40,Annealing,0.900,0.400,30,962,865
Annealing,0.950,0.400,40,Annealing,0.900,0.400,35,491,432
Annealing,0.950,0.400,40,Annealing,0.900,0.425,25,40651,38686
Annealing,0.950,0.400,40,Annealing,0.900,0.425,30,175312,164752
Annealing,0.950,0.400,40,Annealing,0.900,0.425,35,34682,33748
Annealing,0.950,0.400,40,Annealing,0.950,0.400,25,48,30
Annealing,0.950,0.400,40,Annealing,0.950,0.400,30,2091,1960
Annealing,0.950,0.400,40,Annealing,0.950,0.400,35,33881,33279
Annealing,0.950,0.400,40,Annealing,0.950,0.425,25,19735,19107
Annealing,0.950,0.400,40,Annealing,0.950,0.425,30,46033,44703
Annealing,0.950,0.400,40,Mirroring,0.000,0.400,25,378,323
Annealing,0.950,0.400,40,Mirroring,0.000,0.400,35,102809,102006
Annealing,0.950,0.400,40,Mirroring,0.000,0.400,40,2415,2297
Annealing,0.950,0.400,40,Mirroring,0.000,0.425,25,276,234
Annealing,0.950,0.425,20,Annealing,0.900,0.400,25,67137,65404
Annealing,0.950,0.425,20,Annealing,0.900,0.400,35,52549,51905
Annealing,0.950,0.425,20,Annealing,0.900,0.425,20,76562,75391
Annealing,0.950,0.425,20,Annealing,0.900,0.425,25,87504,81436
Annealing,0.950,0.425,20,Annealing,0.950,0.400,30,10611,10286
Annealing,0.950,0.425,20,Annealing,0.950,0.400,35,4682,4502
Annealing,0.950,0.425,20,Annealing,0.950,0.400,40,1497,1350
Annealing,0.950,0.425,20,Annealing,0.950,0.425,25,114695,111967
Annealing,0.950,0.425,20,Annealing,0.950,0.425,30,488,393
Annealing,0.950,0.425,20,Annealing,0.950,0.425,35,8901,8872
Annealing,0.950,0.425,20,Mirroring,0.000,0.400,20,86128,83849
Annealing,0.950,0.425,20,Mirroring,0.000,0.400,25,463,376
Annealing,0.950,0.425,20,Mirroring,0.000,0.400,30,573,465
Annealing,0.950,0.425,20,Mirroring,0.000,0.425,20,131840,128439
Annealing,0.950,0.425,25,Annealing,0.900,0.400,20,44,41
Annealing,0.950,0.425,25,Annealing,0.900,0.400,35,3593,3543
Annealing,0.950,0.425,25,Annealing,0.900,0.425,25,87,73
Annealing,0.950,0.425,25,Annealing,0.900,0.425,30,369,293
Annealing,0.950,0.425,25,Annealing,0.950,0.400,20,60393,60069
Annealing,0.950,0.425,25,Annealing,0.950,0.425,30,315,308
Annealing,0.950,0.425,25,Annealing,0.950,0.425,35,2753,2678
Annealing,0.950,0.425,25,Mirroring,0.000,0.400,20,292,263
Annealing,0.950,0.425,25,Mirroring,0.000,0.400,25,53208,47680
Annealing,0.950,0.425,25,Mirroring,0.000,0.425,20,45,43
Annealing,0.950,0.425,25,Mirroring,0.000,0.425,25,129434,123930
Annealing,0.950,0.425,25,Mirroring,0.000,0.425,30,722,585
Annealing,0.950,0.425,30,Annealing,0.900,0.400,20,72,68
Annealing,0.950,0.425,30,Annealing,0.900,0.400,25,99741,104223
Annealing,0.950,0.425,30,Annealing,0.900,0.400,35,128352,125224
Annealing,0.950,0.425,30,Annealing,0.900,0.425,25,99441,99044
Annealing,0.950,0.425,30,Annealing,0.900,0.425,35,53915,51779
Annealing,0.950,0.425,30,Annealing,0.950,0.400,25,78286,76601
Annealing,0.950,0.425,30,Annealing,0.950,0.400,30,1826,1524
Annealing,0.950,0.425,30,Mirroring,0.000,0.400,25,37969,37664
Annealing,0.950,0.425,30,Mirroring,0.000,0.425,20,5174,4847
Annealing,0.950,0.425,30,Mirroring,0.000,0.425,30,2880,2850
Annealing,0.950,0.425,30,Mirroring,0.000,0.425,35,110768,106418
Annealing,0.950,0.425,35,Annealing,0.900,0.400,20,766,688
Annealing,0.950,0.425,35,Annealing,0.900,0.400,25,98406,107604
Annealing,0.950,0.425,35,Annealing,0.900,0.400,30,89219,83739
Annealing,0.950,0.425,35,Annealing,0.900,0.400,35,97,70
Annealing,0.950,0.425,35,Annealing,0.900,0.400,40,125420,118916
Annealing,0.950,0.425,35,Annealing,0.900,0.425,20,183,149
Annealing,0.950,0.425,35,Annealing,0.950,0.400,25,245,240
Annealing,0.950,0.425,35,Annealing,0.950,0.400,40,640,546
Annealing,0.950,0.425,35,Annealing,0.950,0.425,30,158,134
Annealing,0.950,0.425,35,Mirroring,0.000,0.400,20,42,38
Annealing,0.950,0.425,35,Mirroring,0.000,0.425,20,923,1192
Annealing,0.950,0.425,35,Mirroring,0.000,0.425,25,1631,1301
Annealing,0.950,0.425,35,Mirroring,0.000,0.425,30,472,397
Mirroring,0.000,0.400,20,Annealing,0.900,0.400,25,1424,1416
Mirroring,0.000,0.400,20,Annealing,0.900,0.400,30,177,176
Mirroring,0.000,0.400,20,Annealing,0.900,0.400,35,95092,94508
Mirroring,0.000,0.400,20,Annealing,0.900,0.425,25,41,17
Mirroring,0.000,0.400,20,Annealing,0.900,0.425,30,45643,43025
Mirroring,0.000,0.400,20,Annealing,0.900,0.425,35,62188,59235
Mirroring,0.000,0.400,20,Annealing,0.950,0.400,25,298,248
Mirroring,0.000,0.400,20,Annealing,0.950,0.400,30,1712,1687
Mirroring,0.000,0.400,20,Annealing,0.950,0.400,35,50794,50127
Mirroring,0.000,0.400,20,Annealing,0.950,0.400,40,183481,172077
Mirroring,0.000,0.400,20,Annealing,0.950,0.425,30,1396,1387
Mirroring,0.000,0.400,25,Annealing,0.900,0.400,30,12082,10692
Mirroring,0.000,0.400,25,Annealing,0.900,0.400,35,89,87
Mirroring,0.000,0.400,25,Annealing,0.900,0.400,40,76531,71180
Mirroring,0.000,0.400,25,Annealing,0.900,0.425,20,374,363
Mirroring,0.000,0.400,25,Annealing,0.900,0.425,25,18511,17750
Mirroring,0.000,0.400,25,Annealing,0.950,0.400,20,1140,1131
Mirroring,0.000,0.400,25,Annealing,0.950,0.400,25,883,1029
Mirroring,0.000,0.400,25,Annealing,0.950,0.425,35,396,378
Mirroring,0.000,0.400,25,Mirroring,0.000,0.400,20,64,54
Mirroring,0.000,0.400,25,Mirroring,0.000,0.400,30,31522,30692
Mirroring,0.000,0.400,25,Mirroring,0.000,0.400,35,953,1137
Mirroring,0.000,0.400,25,Mirroring,0.000,0.425,30,959,1016
Mirroring,0.000,0.400,30,Annealing,0.900,0.400,20,14371,14264
Mirroring,0.000,0.400,30,Annealing,0.900,0.400,30,711,586
Mirroring,0.000,0.400,30,Annealing,0.900,0.400,35,9824,10429
Mirroring,0.000,0.400,30,Annealing,0.900,0.400,40,243,205
Mirroring,0.000,0.400,30,Annealing,0.900,0.425,25,45,43
Mirroring,0.000,0.400,30,Annealing,0.950,0.400,20,14097,12260
Mirroring,0.000,0.400,30,Annealing,0.950,0.400,25,163,152
Mirroring,0.000,0.400,30,Annealing,0.950,0.400,35,3383,2779
Mirroring,0.000,0.400,30,Annealing,0.950,0.400,40,4465,4035
Mirroring,0.000,0.400,30,Annealing,0.950,0.425,25,7188,6797
Mirroring,0.000,0.400,30,Annealing,0.950,0.425,30,11405,10937
Mirroring,0.000,0.400,30,Annealing,0.950,0.425,35,854,846
Mirroring,0.000,0.400,30,Mirroring,0.000,0.400,20,14374,14093
Mirroring,0.000,0.400,30,Mirroring,0.000,0.425,20,971,901
Mirroring,0.000,0.400,30,Mirroring,0.000,0.425,35,368,322
Mirroring,0.000,0.400,35,Annealing,0.900,0.400,20,890,756
Mirroring,0.000,0.400,35,Annealing,0.900,0.400,25,1291,1060
Mirroring,0.000,0.400,35,Annealing,0.900,0.400,35,16707,15669
Mirroring,0.000,0.400,35,Annealing,0.900,0.400,40,120464,114905
Mirroring,0.000,0.400,35,Annealing,0.900,0.425,35,3033,2528
Mirroring,0.000,0.400,35,Annealing,0.950,0.400,20,99557,107952
Mirroring,0.000,0.400,35,Annealing,0.950,0.400,25,108767,107821
Mirroring,0.000,0.400,35,Annealing,0.950,0.425,20,1385,1014
Mirroring,0.000,0.400,35,Annealing,0.950,0.425,25,14786,13679
Mirroring,0.000,0.400,35,Annealing,0.950,0.425,30,15521,14717
